"code","name","numeric_class"
"ADEN","Yemen-Aden",280
"AFARS","Djibouti",322
"AFGHA","Afghanistan",236
"AFRIC","Africa",300
"ALBAN","Albania",101
"ALGER","Algeria",316
"ALHUC","Spain",129
"ALKUW","Al-Kuwayt",272
"ALOFI","Wallis and Futuna Islands",469
"ANDAM","India",247
"ANDOR","Andorra",102
"ANGOL","Angola",324
"ANQUI","Anguilla",529
"ANTAR","French Southern and Antarctic",394
"ANTIG","Antigua-Barbuda",518
"ANTIL","Netherlands Antilles",508
"ARABI","Arabian Peninsula",239
"ARABJ","Jordan",253
"ARGEN","Argentina",687
"ARMEN","Armenia",151
"ARUBA","Aruba",532
"ASAMO","American Samoa",403
"ASIA","Asia",200
"AUSTR","French Polynesia",411
"AZERB","Azerbaijan",152
"AZORE","Portugal",126
"BAHAM","Bahamas",512
"BAHRA","Bahrain",298
"BALEA","Spain",129
"BANAB","Kiribati",414
"BANGL","Bangladesh",274
"BANKS","Vanuatu",410
"BARBA","Barbados",513
"BARBU","Antigua-Barbuda",518
"BELGI","Belgium",104
"BELIZ","Belize",581
"BENIN","Benin",386
"BERMU","Bermuda",509
"BGUIA","Guyana",603
"BHOND","Belize",581
"BHUTA","Bhutan",242
"BISSA","Guinea-Bissau",327
"BOLIV","Bolivia",688
"BONAI","Netherlands Antilles",508
"BONIN","Japan",252
"BORNE","Malaysia",273
"BOSNI","Bosnia-Herzegovina",164
"BOTSW","Botswana",336
"BRAZI","Brazil",689
"BRHON","Belize",581
"BRUNE","Brunei",217
"BSOLO","British Solomon Islands",412
"BULGA","Bulgaria",105
"BURKI","Burkina Faso",393
"BURMA","Burma",243
"BURUN","Burundi",375
"BVI","British Virgin Islands",525
"BVIRG","British Virgin Islands",525
"BYELA","Byelarus",153
"CABIN","Angola",324
"CAFRI","Central African Republic",383
"CAICO","Turks and Caicos Islands",527
"CAMBO","Kampuchea",201
"CAMER","Cameroon",310
"CAMPB","Campbell Island",464
"CANAD","Canada",574
"CANAL","Panama",580
"CANAR","Canary Islands",129
"CAPEV","Cape Verde",326
"CAR","Central African Republic",383
"CAYMA","Cayman Islands",526
"CENTR","Central African Republic",383
"CEUTA","Spain",129
"CEYLO","Sri Lanka",244
"CHAD","Chad",384
"CHAFA","Spain",129
"CHANN","United Kingdom",180
"CHILE","Chile",690
"CHINA","China, People's Republic of",245
"CHRIS","Christmas Island",270
"COCOS","Cocos Islands",271
"COLOM","Colombia",691
"COMOR","Comoros",317
"CONGO","Congo",385
"CONKI","Zaire",301
"COOK","Cook Islands",467
"COOKI","Cook Islands",467
"CORSI","France",111
"COSTA","Costa Rica",575
"CRETE","Greece",113
"CROAT","Croatia",165
"CSSR","USSR",134
"CUBA","Cuba",584
"CURAC","Netherlands Antilles",508
"CVI","Cape Verde",326
"CYPRU","Cyprus",218
"CZ","Panama",580
"CZECH","Czechoslovakia",106
"CZREP","Czech Republic",140
"DAHOM","Benin",386
"DANZI","Poland",125
"DECON","Democratic Republic of Congo",0
"DENMA","Denmark",108
"DJIBO","Djibouti",322
"DODEC","Greece",113
"DOMIN","Dominica",519
"DR","Dominican Republic",585
"ECUAD","Ecuador",692
"EGERM","East Germany",112
"EGYPT","Egypt",368
"ELLIC","Tuvalu",420
"ELSAL","El Salvador",576
"ENGLA","United Kingdom",180
"EQUAT","Equatorial Guinea",399
"ERITR","Eritrea",372
"ESTON","Estonia",109
"ETHIO","Ethiopia",369
"EUROP","Europe",100
"FALKL","Falkland Islands",604
"FANNI","Kiribati",414
"FAROE","Denmark",108
"FEDMA","Malaysia",273
"FERNA","Equatorial Guinea",399
"FGUIA","French Guiana",601
"FIJI","Fiji",413
"FINLA","Finland",110
"FORMO","Taiwan",268
"FPOLY","French Polynesia",411
"FRANC","France",111
"FRG","Germany",112
"FRIEN","Tonga",417
"FSAAA","French South Antarctic",394
"FSM","Federated States of Micronesia",473
"FSOMA","Djibouti",322
"FSTMA","Guadeloupe",507
"FUTUN","Wallis and Futuna Islands",469
"GABON","Gabon",387
"GAMBI","Gambia",338
"GAMIS","French Polynesia",411
"GDR","German Democratic Republic",112
"GEORG","Georgia",154
"GERMA","Germany",112
"GHANA","Ghana",339
"GIBRA","Gibraltar",143
"GILBE","Kiribati",414
"GOA","India",247
"GOZO","Malta",145
"GRBR","United Kingdom",180
"GREEC","Greece",113
"GREEN","Greenland",501
"GRENA","Grenada",520
"GUADE","Guadeloupe",507
"GUAM","Guam",404
"GUATE","Guatemala",577
"GUERN","United Kingdom",180
"GUIBI","Guinea-Bissau",327
"GUINE","Guinea",382
"GUYAN","Guyana",603
"HABOM","Japan",252
"HAITI","Haiti",586
"HOLLA","Netherlands",123
"HONDU","Honduras",578
"HONGK","Hong Kong",206
"HUNGA","Hungary",114
"HUONI","New Caledonia",409
"ICELA","Iceland",115
"IFNI","Morocco",374
"INDIA","India",247
"INDOC","Vietnam",266
"INDON","Indonesia",248
"INICA","Dominica",519
"INNER","China, People's Republic of",245
"IRAN","Iran",249
