"Country",2015-07-01,2016-02-18,2017-10-01,2017-10-12,2018-11-29,2019-11-07,2021-03-11,2022-11-07,2023-03-31,2024-03-31,2025-03-31
"Afghanistan",,,,,,,,25,1585,8245,8105
"Burma",,,,,,,,1195,1760,2320,3670
"Cameroon",,,,,,,,645,1300,3265,4920
"El Salvador",204000,204000,262528,262526,204000,247697,198420,190865,188725,180375,170125
"Ethiopia",,,,,,,,,910,2330,4540
"Guinea",2000,2000,,,2000,,,,,,
"Haiti",51000,50000,58557,58557,50000,55338,40865,87060,116505,200005,330735
"Honduras",61000,61000,86031,86031,61000,79415,60350,57605,56840,54290,51225
"Lebanon",,,,,,,,,,,140
"Liberia",4000,4000,,,4000,,,,,,
"Nepal",25000,25000,14791,14791,25000,14550,10160,8545,8525,7875,7160
"Nicaragua",2800,2800,5306,5305,2800,4421,3200,3085,3020,2925,2910
"Sierra Leone",2000,2000,,,2000,,,,,,
"Somalia",270,270,499,499,270,455,385,370,390,555,705
"South Sudan",500,200,77,77,200,96,80,80,100,155,210
"Sudan",600,450,1048,1048,450,774,550,850,970,1190,1790
"Syria",5000,5000,6916,6916,5000,6934,3945,4025,3955,3865,3860
"Ukraine",,,,,,,,9520,22480,50205,101150
"Venezuela",,,,,,,,171550,201895,344335,605015
"Yemen",,2000,1116,1116,2000,1646,1385,1510,1530,1840,1380
